month,country,net_flow_musd,table
2023-03,Hong Kong,-1000,slt2_us_lt_total_net
2023-03,Hungary,-80,slt1_for_lt_total_net
2023-03,Hungary,-139,slt2_us_lt_total_net
2023-03,India,1338,slt1_for_lt_total_net
2023-03,India,1661,slt2_us_lt_total_net
2023-03,Indonesia,-133,slt1_for_lt_total_net
2023-03,Indonesia,1386,slt2_us_lt_total_net
2023-03,International,1325,slt1_for_lt_total_net
2023-03,International,-2597,slt2_us_lt_total_net
2023-03,Ireland,17927,slt1_for_lt_total_net
2023-03,Ireland,-11389,slt2_us_lt_total_net
2023-03,Israel,4334,slt1_for_lt_total_net
2023-03,Israel,713,slt2_us_lt_total_net
2023-03,Italy,-574,slt1_for_lt_total_net
2023-03,Italy,77,slt2_us_lt_total_net
2023-03,Jamaica,10,slt1_for_lt_total_net
2023-03,Jamaica,-12,slt2_us_lt_total_net
2023-03,Japan,-10332,slt1_for_lt_total_net
2023-03,Japan,-18,slt2_us_lt_total_net
2023-03,Jersey,81,slt1_for_lt_total_net
2023-03,Jersey,-156,slt2_us_lt_total_net
2023-03,Kazakhstan,-309,slt1_for_lt_total_net
2023-03,Kazakhstan,-164,slt2_us_lt_total_net
2023-03,"Korea, South",2503,slt1_for_lt_total_net
2023-03,"Korea, South",245,slt2_us_lt_total_net
2023-03,Kuwait,-555,slt1_for_lt_total_net
2023-03,Kuwait,23,slt2_us_lt_total_net
2023-03,Lebanon,12,slt1_for_lt_total_net
2023-03,Lebanon,-1,slt2_us_lt_total_net
2023-03,Liberia,55,slt1_for_lt_total_net
2023-03,Liberia,-46,slt2_us_lt_total_net
2023-03,Luxembourg,174,slt1_for_lt_total_net
2023-03,Luxembourg,-837,slt2_us_lt_total_net
2023-03,Malaysia,1961,slt1_for_lt_total_net
2023-03,Malaysia,317,slt2_us_lt_total_net
2023-03,Mauritius,388,slt1_for_lt_total_net
2023-03,Mauritius,-8,slt2_us_lt_total_net
2023-03,Memo: Euro Area,29830,slt1_for_lt_total_net
2023-03,Memo: Euro Area,-19028,slt2_us_lt_total_net
2023-03,Memo: European Union,32388,slt1_for_lt_total_net
2023-03,Memo: European Union,-19198,slt2_us_lt_total_net
2023-03,Mexico,589,slt1_for_lt_total_net
2023-03,Mexico,1064,slt2_us_lt_total_net
2023-03,Monaco,-55,slt1_for_lt_total_net
2023-03,Monaco,-10,slt2_us_lt_total_net
2023-03,Morocco,-47,slt1_for_lt_total_net
